423089.54504,2932242.18201,64.45200,196.00000,5.00000,0.00000,1.00000,1.00000,1.00000,190.00000,1.00000,3162.27759
423088.52905,2932241.47302,64.48100,195.00000,5.00000,0.00000,1.00000,1.00000,1.00000,179.00000,1.00000,3162.27759
423088.41797,2932240.72302,64.48300,194.00000,6.00000,0.00000,0.00000,1.00000,1.00000,167.00000,1.00000,3162.27759
423089.44897,2932241.43604,64.52200,193.00000,5.00000,0.00000,0.00000,1.00000,1.00000,151.00000,1.00000,3162.27759
423090.45996,2932242.13904,64.47700,193.00000,5.00000,0.00000,0.00000,1.00000,1.00000,169.00000,1.00000,3162.27759
423091.50403,2932242.86096,64.51000,193.00000,5.00000,0.00000,0.00000,1.00000,1.00000,170.00000,1.00000,3162.27759
423093.39294,2932242.70801,64.45500,193.00000,5.00000,0.00000,1.00000,1.00000,1.00000,175.00000,1.00000,3162.27759
423092.37805,2932241.99902,64.48500,193.00000,5.00000,0.00000,1.00000,1.00000,1.00000,190.00000,1.00000,3162.27759
423091.35901,2932241.28796,64.49100,193.00000,5.00000,0.00000,1.00000,1.00000,1.00000,182.00000,1.00000,3162.27759
423090.32605,2932240.56995,64.43900,191.00000,5.00000,0.00000,1.00000,1.00000,1.00000,162.00000,1.00000,3162.27759
423089.32495,2932239.87000,64.49600,191.00000,5.00000,0.00000,1.00000,1.00000,1.00000,184.00000,1.00000,3162.27759
423088.31299,2932239.16504,64.46200,190.00000,6.00000,0.00000,1.00000,1.00000,1.00000,160.00000,1.00000,3162.27759
423088.15295,2932238.33704,64.49000,193.00000,6.00000,0.00000,0.00000,1.00000,1.00000,169.00000,1.00000,3162.27759
423089.16602,2932239.04102,64.42200,194.00000,6.00000,0.00000,0.00000,1.00000,1.00000,156.00000,1.00000,3162.27759
423090.19702,2932239.75305,64.50500,194.00000,5.00000,0.00000,0.00000,1.00000,1.00000,158.00000,1.00000,3162.27759
423091.20996,2932240.45605,64.50300,193.00000,5.00000,0.00000,0.00000,1.00000,1.00000,162.00000,1.00000,3162.27759
423092.23206,2932241.16504,64.45100,193.00000,5.00000,0.00000,0.00000,1.00000,1.00000,162.00000,1.00000,3162.27759
423093.27002,2932241.88403,64.50500,193.00000,5.00000,0.00000,0.00000,1.00000,1.00000,162.00000,1.00000,3162.27759
423094.30603,2932242.60205,64.48600,193.00000,5.00000,0.00000,0.00000,1.00000,1.00000,165.00000,1.00000,3162.27759
423096.31604,2932242.62000,64.52200,193.00000,5.00000,0.00000,1.00000,1.00000,1.00000,188.00000,1.00000,3162.27759
423095.29199,2932241.90698,64.50600,193.00000,5.00000,0.00000,1.00000,1.00000,1.00000,189.00000,1.00000,3162.27759
423094.26001,2932241.18896,64.43000,191.00000,5.00000,0.00000,1.00000,1.00000,1.00000,180.00000,1.00000,3162.27759
423093.24402,2932240.47900,64.49200,190.00000,5.00000,0.00000,1.00000,1.00000,1.00000,163.00000,1.00000,3162.27759
423092.22998,2932239.77295,64.48500,190.00000,5.00000,0.00000,1.00000,1.00000,1.00000,153.00000,1.00000,3162.27759
423091.20605,2932239.05798,64.49500,190.00000,5.00000,0.00000,1.00000,1.00000,1.00000,159.00000,1.00000,3162.27759
423090.18201,2932238.34595,64.39900,190.00000,6.00000,0.00000,1.00000,1.00000,1.00000,160.00000,1.00000,3162.27759
423089.18701,2932237.65100,64.48200,190.00000,6.00000,0.00000,1.00000,1.00000,1.00000,167.00000,1.00000,3162.27759
423088.18506,2932236.95398,64.43500,190.00000,6.00000,0.00000,1.00000,1.00000,1.00000,167.00000,1.00000,3162.27759
423087.19104,2932236.26001,64.42600,190.00000,6.00000,0.00000,1.00000,1.00000,1.00000,157.00000,1.00000,3162.27759
423087.04700,2932235.46594,64.40700,193.00000,6.00000,0.00000,0.00000,1.00000,1.00000,180.00000,1.00000,3162.27759
423088.08105,2932236.18103,64.49000,193.00000,6.00000,0.00000,0.00000,1.00000,1.00000,168.00000,1.00000,3162.27759
423089.08997,2932236.88098,64.44700,193.00000,6.00000,0.00000,0.00000,1.00000,1.00000,177.00000,1.00000,3162.27759
423090.10901,2932237.58704,64.44100,193.00000,6.00000,0.00000,0.00000,1.00000,1.00000,170.00000,1.00000,3162.27759
423091.13196,2932238.29504,64.50600,194.00000,6.00000,0.00000,0.00000,1.00000,1.00000,165.00000,1.00000,3162.27759
423092.15198,2932239.00195,64.44700,193.00000,5.00000,0.00000,0.00000,1.00000,1.00000,167.00000,1.00000,3162.27759
423093.18799,2932239.71997,64.48100,192.00000,5.00000,0.00000,0.00000,1.00000,1.00000,162.00000,1.00000,3162.27759
423094.21899,2932240.43506,64.47900,190.00000,5.00000,0.00000,0.00000,1.00000,1.00000,145.00000,1.00000,3162.27759
423095.27295,2932241.16394,64.49400,190.00000,5.00000,0.00000,0.00000,1.00000,1.00000,160.00000,1.00000,3162.27759
423096.31702,2932241.88794,64.50700,190.00000,5.00000,0.00000,0.00000,1.00000,1.00000,152.00000,1.00000,3162.27759
423097.35498,2932242.60803,64.45800,191.00000,5.00000,0.00000,0.00000,1.00000,1.00000,169.00000,1.00000,3162.27759
423098.40601,2932243.33496,64.52300,191.00000,5.00000,0.00000,0.00000,1.00000,1.00000,156.00000,1.00000,3162.27759
423100.06897,2932243.06396,64.51600,194.00000,5.00000,0.00000,1.00000,1.00000,1.00000,173.00000,1.00000,3162.27759
423099.03406,2932242.34302,64.50400,193.00000,5.00000,0.00000,1.00000,1.00000,1.00000,173.00000,1.00000,3162.27759
